33.5,0.7214,1389118703
33.5,0.0119403,1389119203
33.5,0.0119403,1389119216
33.5,0.05834657,1389119456
33.5,0.00507462,1389119456
33.6,0.04001,1389119474
33.6,0.05001,1389119487
33.6,0.00998,1389119881
33.6,0.04004,1389119881
33.6,0.02001,1389119894
33.6,0.00337,1389120423
33.71556,0.05596134,1389120423
33.99998,1.10873,1389120637
33.99999,1.10706,1389120637
33.99998,0.01040177,1389120811
33.99999,0.41521,1389122995
33.99999,0.01642198,1389123000
33.4125,0.79763,1389123002
33.12002,0.20237,1389123002
33.99999,0.13238408,1389123006
33.99999,0.22188394,1389123008
34,0.02905606,1389123008
33.99999,0.07034,1389123183
33.99999,0.01509,1389123381
33.99999,0.01217374,1389123382
33.99999,0.08702544,1389123384
33.99999,0.41511,1389123401
33.99999,0.04013,1389123414
33.99999,0.43199,1389123450
33.99999,0.04223,1389123459
34,0.07094394,1389123464
34,0.06456606,1389123464
34,0.32567,1389123485
34,0.00230394,1389123517
34,0.09963,1389123517
34,0.07839606,1389123517
34,0.12545394,1389123556
34.00001,0.05787,1389123556
34.00692,0.16124,1389123556
34.19899,0.05482,1389123602
34.19899,0.01169625,1389123619
34.199,0.01583998,1389123625
34.19899,0.01,1389123626
34.19899,0.01169625,1389123632
34.19899,0.01864,1389123633
34.199,0.01583998,1389123648
34.199,0.072852,1389123653
34.19899,0.01,1389123660
34.19899,0.0150503,1389123661
34.00692,0.00086606,1389123851
33.99999,0.01913394,1389123851
33.99999,0.06,1389124049
33.99999,0.01,1389124085
33.99999,0.00123901,1389124151
33.13941,0.00876099,1389124151
33.11002,0.05,1389124584
33.11002,0.41971,1389124627
33.10001,0.04,1389125142
33.10001,0.0139873,1389125143
33.10001,0.01,1389125186
33.10001,0.0039873,1389125187
33.8,0.00809728,1389125187
33.10001,0.015729,1389125199
33.10001,0.015,1389125201
33.10001,0.015,1389125214
33.10001,0.00842144,1389125612
33.10001,0.25,1389126634
33.10001,0.03,1389126850
33.8,0.00190272,1389126969
33.8,0.00933728,1389126972
